Province,year,Violent assault,Robberies with violence in public places,Robberies with violence and intimidation
    Córdoba,2016.0,2575.0,333.0,494.0
    Coruña (A),2016.0,2980.0,233.0,473.0
    Cuenca,2016.0,560.0,48.0,79.0
    Girona,2016.0,2323.0,6.0,809.0
    Granada,2016.0,3159.0,446.0,712.0
    Guadalajara,2016.0,785.0,153.0,209.0
    Gipuzkoa,2016.0,1559.0,206.0,320.0
    Huelva,2016.0,2209.0,172.0,309.0
    Huesca,2016.0,524.0,20.0,50.0
    Jaén,2016.0,1906.0,192.0,318.0
    León,2016.0,1442.0,144.0,231.0
    Lleida,2016.0,1162.0,1.0,392.0
    Rioja (La),2016.0,979.0,75.0,119.0
    Lugo,2016.0,931.0,60.0,100.0
    Madrid,2016.0,25275.0,12130.0,16992.0
    Málaga,2016.0,7634.0,1102.0,1594.0
    Murcia,2016.0,5768.0,962.0,1495.0
    Navarra,2016.0,2352.0,302.0,424.0
    Ourense,2016.0,828.0,55.0,107.0
    Asturias,2016.0,3239.0,321.0,531.0
    Palencia,2016.0,480.0,25.0,49.0
    Palmas (Las),2016.0,6255.0,472.0,777.0
    Pontevedra,2016.0,3115.0,217.0,406.0
    Salamanca,2016.0,760.0,94.0,153.0
    Santa Cruz de Tenerife,2016.0,4766.0,490.0,760.0
    Cantabria,2016.0,1971.0,109.0,214.0
    Segovia,2016.0,421.0,17.0,29.0
    Sevilla,2016.0,7066.0,1770.0,2423.0
    Soria,2016.0,262.0,15.0,25.0
    Tarragona,2016.0,2244.0,8.0,1069.0
    Teruel,2016.0,282.0,10.0,17.0
    Toledo,2016.0,2230.0,213.0,382.0
    Valencia/València,2016.0,10531.0,2130.0,3373.0
    Valladolid,2016.0,1521.0,55.0,107.0
    Bizkaia,2016.0,3039.0,1025.0,1475.0
    Zamora,2016.0,469.0,20.0,36.0
    Zaragoza,2016.0,3199.0,583.0,843.0
    Ceuta,2016.0,680.0,156.0,197.0
    Melilla,2016.0,888.0,316.0,377.0
    Araba/Álava,2015.0,1329.0,153.0,205.0
    Albacete,2015.0,1632.0,130.0,198.0
    Alicante/Alacant,2015.0,10727.0,1247.0,1998.0
    Almería,2015.0,4281.0,451.0,697.0
    Ávila,2015.0,681.0,26.0,45.0
    Badajoz,2015.0,2870.0,139.0,238.0
    Balears (Illes),2015.0,7774.0,652.0,1069.0
    Barcelona,2015.0,18633.0,66.0,19176.0
    Burgos,2015.0,1505.0,89.0,157.0
    Cáceres,2015.0,1375.0,48.0,70.0
    Cádiz,2015.0,8382.0,650.0,969.0
    Castellón/Castelló,2015.0,2723.0,227.0,426.0
    Ciudad Real,2015.0,2149.0,109.0,183.0
    Córdoba,2015.0,4141.0,371.0,509.0
    Coruña (A),2015.0,4383.0,224.0,454.0
    Cuenca,2015.0,815.0,50.0,74.0
    Girona,2015.0,3470.0,1.0,820.0
    Granada,2015.0,4415.0,475.0,697.0
    Guadalajara,2015.0,1085.0,101.0,163.0
    Gipuzkoa,2015.0,2327.0,151.0,276.0
    Huelva,2015.0,3037.0,203.0,336.0
    Huesca,2015.0,630.0,16.0,35.0
    Jaén,2015.0,2619.0,235.0,359.0
    León,2015.0,2194.0,143.0,231.0
    Lleida,2015.0,1849.0,4.0,435.0
    Rioja (La),2015.0,1176.0,92.0,136.0
    Lugo,2015.0,1206.0,69.0,124.0
    Madrid,2015.0,30615.0,12307.0,17454.0
    Málaga,2015.0,9763.0,1044.0,1535.0
    Murcia,2015.0,7534.0,925.0,1480.0
    Navarra,2015.0,2945.0,203.0,351.0
    Ourense,2015.0,1094.0,75.0,125.0
    Asturias,2015.0,4238.0,360.0,603.0
    Palencia,2015.0,649.0,30.0,48.0
