Province,year,Total_crimes
    Rioja (La),2017,6515.0
    Lugo,2017,5048.0
    Madrid,2017,319165.0
    Málaga,2017,62275.0
    Murcia,2017,49122.0
    Navarra,2017,17220.0
    Ourense,2017,4906.0
    Asturias,2017,17874.0
    Palencia,2017,2542.0
    Palmas (Las),2017,36369.0
    Pontevedra,2017,19982.0
    Salamanca,2017,7358.0
    Santa Cruz de Tenerife,2017,37672.0
    Cantabria,2017,13353.0
    Segovia,2017,2687.0
    Sevilla,2017,72061.0
    Soria,2017,1595.0
    Tarragona,2017,29661.0
    Teruel,2017,1512.0
    Toledo,2017,21056.0
    Valencia/València,2017,91018.0
    Valladolid,2017,11726.0
    Bizkaia,2017,37420.0
    Zamora,2017,3307.0
    Zaragoza,2017,22881.0
    Ceuta,2017,3061.0
    Melilla,2017,4365.0
    Araba/Álava,2016,8339.0
    Albacete,2016,9375.0
    Alicante/Alacant,2016,79411.0
    Almería,2016,26329.0
    Ávila,2016,3365.0
    Badajoz,2016,14637.0
    Balears (Illes),2016,56131.0
    Barcelona,2016,258590.0
    Burgos,2016,7996.0
    Cáceres,2016,6164.0
    Cádiz,2016,38650.0
    Castellón/Castelló,2016,21986.0
    Ciudad Real,2016,10002.0
    Córdoba,2016,19280.0
    Coruña (A),2016,24927.0
    Cuenca,2016,4621.0
    Girona,2016,30058.0
    Granada,2016,26287.0
    Guadalajara,2016,6840.0
    Gipuzkoa,2016,16309.0
    Huelva,2016,17202.0
    Huesca,2016,3484.0
    Jaén,2016,12926.0
    León,2016,11715.0
    Lleida,2016,12329.0
    Rioja (La),2016,6604.0
    Lugo,2016,5189.0
    Madrid,2016,324010.0
    Málaga,2016,65214.0
    Murcia,2016,48219.0
    Navarra,2016,18435.0
    Ourense,2016,5776.0
    Asturias,2016,19406.0
    Palencia,2016,2541.0
    Palmas (Las),2016,36278.0
    Pontevedra,2016,20230.0
    Salamanca,2016,7446.0
    Santa Cruz de Tenerife,2016,37754.0
    Cantabria,2016,13436.0
    Segovia,2016,3071.0
    Sevilla,2016,69886.0
    Soria,2016,1645.0
    Tarragona,2016,29688.0
    Teruel,2016,1754.0
    Toledo,2016,22144.0
    Valencia/València,2016,94477.0
    Valladolid,2016,12014.0
    Bizkaia,2016,37792.0
    Zamora,2016,3220.0
    Zaragoza,2016,24089.0
    Ceuta,2016,3084.0
    Melilla,2016,4658.0
    Araba/Álava,2015,9376.0
    Albacete,2015,10414.0
    Alicante/Alacant,2015,81636.0
    Almería,2015,27369.0
    Ávila,2015,3863.0
    Badajoz,2015,15937.0
    Balears (Illes),2015,56059.0
    Barcelona,2015,265837.0
    Burgos,2015,8920.0
    Cáceres,2015,6579.0
    Cádiz,2015,43819.0
    Castellón/Castelló,2015,23077.0
    Ciudad Real,2015,11514.0
    Córdoba,2015,21516.0
    Coruña (A),2015,25974.0
    Cuenca,2015,4867.0
    Girona,2015,32753.0
    Granada,2015,26814.0
    Guadalajara,2015,7450.0
    Gipuzkoa,2015,18004.0
    Huelva,2015,17829.0
    Huesca,2015,3699.0
    Jaén,2015,13898.0
    León,2015,12319.0
    Lleida,2015,14114.0
    Rioja (La),2015,7336.0
    Lugo,2015,5932.0
    Madrid,2015,319806.0
    Málaga,2015,64974.0
    Murcia,2015,50868.0
    Navarra,2015,17497.0
    Ourense,2015,6010.0
    Asturias,2015,21103.0
    Palencia,2015,2912.0
    Palmas (Las),2015,38740.0
    Pontevedra,2015,23471.0
    Salamanca,2015,8300.0
    Santa Cruz de Tenerife,2015,39224.0
    Cantabria,2015,13632.0
    Segovia,2015,3429.0
    Sevilla,2015,73727.0
    Soria,2015,1814.0
    Tarragona,2015,32084.0
    Teruel,2015,1805.0
    Toledo,2015,24250.0
    Valencia/València,2015,99590.0
    Valladolid,2015,13541.0
    Bizkaia,2015,39094.0
    Zamora,2015,3528.0
    Zaragoza,2015,24514.0
    Ceuta,2015,3689.0
    Melilla,2015,4654.0
    Araba/Álava,2014,10493.0
    Albacete,2014,11743.0
    Alicante/Alacant,2014,88872.0
    Almería,2014,29297.0
    Ávila,2014,4254.0
    Badajoz,2014,17472.0
    Balears (Illes),2014,61365.0
    Barcelona,2014,272121.0
    Burgos,2014,10251.0
    Cáceres,2014,6959.0
    Cádiz,2014,47794.0
    Castellón/Castelló,2014,25636.0
    Ciudad Real,2014,11691.0
    Córdoba,2014,24194.0
    Coruña (A),2014,27184.0
    Cuenca,2014,5163.0
    Girona,2014,35263.0
    Granada,2014,29887.0
    Guadalajara,2014,8214.0
    Gipuzkoa,2014,19064.0
    Huelva,2014,20237.0
    Huesca,2014,4080.0
    Jaén,2014,15476.0
    León,2014,13518.0
    Lleida,2014,14754.0
    Rioja (La),2014,8078.0
    Lugo,2014,6304.0
    Madrid,2014,332482.0
    Málaga,2014,68680.0
    Murcia,2014,51898.0
    Navarra,2014,21164.0
    Ourense,2014,7098.0
    Asturias,2014,23052.0
    Palencia,2014,3430.0
    Palmas (Las),2014,42257.0
    Pontevedra,2014,25665.0
    Salamanca,2014,7780.0
    Santa Cruz de Tenerife,2014,39656.0
    Cantabria,2014,15156.0
    Segovia,2014,3793.0
    Sevilla,2014,80379.0
    Soria,2014,1764.0
    Tarragona,2014,36941.0
    Teruel,2014,2273.0
    Toledo,2014,26471.0
    Valencia/València,2014,110288.0
    Valladolid,2014,15875.0
    Bizkaia,2014,44193.0
    Zamora,2014,3650.0
    Zaragoza,2014,26251.0
    Ceuta,2014,3534.0
    Melilla,2014,4248.0
    Araba/Álava,2013,10880.0
    Albacete,2013,12757.0
    Alicante/Alacant,2013,95120.0
    Almería,2013,31206.0
    Ávila,2013,4621.0
    Badajoz,2013,18139.0
    Balears (Illes),2013,67225.0
    Barcelona,2013,286271.0
    Burgos,2013,10338.0
    Cáceres,2013,7699.0
    Cádiz,2013,50224.0
    Castellón/Castelló,2013,26842.0
    Ciudad Real,2013,13089.0
    Córdoba,2013,26498.0
    Coruña (A),2013,27867.0
    Cuenca,2013,5499.0
    Girona,2013,36765.0
    Granada,2013,33661.0
    Guadalajara,2013,8631.0
    Gipuzkoa,2013,19254.0
    Huelva,2013,21399.0
    Huesca,2013,4463.0
    Jaén,2013,15614.0
    León,2013,14620.0
    Lleida,2013,16999.0
    Rioja (La),2013,9042.0
    Lugo,2013,6696.0
    Madrid,2013,352913.0
    Málaga,2013,80102.0
    Murcia,2013,54776.0
    Navarra,2013,19502.0
    Ourense,2013,8117.0
    Asturias,2013,25055.0
    Palencia,2013,3673.0
    Palmas (Las),2013,45191.0
    Pontevedra,2013,27405.0
