
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
Total Nacional,
    5.2.3.-Robos con fuerza en establecimientos,66.0,44.0,77.0,66.0,107.0,88.0,101.0,134.0,103.0,111.0,97.0,112.0,122.0,194.0,
    5.3.-Robos con violencia o intimidación,31.0,25.0,29.0,16.0,24.0,14.0,21.0,29.0,49.0,40.0,61.0,53.0,60.0,69.0,
    5.3.1.-Robos con violencia en vía pública,17.0,13.0,18.0,9.0,13.0,8.0,9.0,17.0,32.0,23.0,42.0,30.0,37.0,48.0,
    5.3.2.-Robos con violencia en viviendas,9.0,1.0,5.0,3.0,2.0,2.0,5.0,4.0,2.0,3.0,10.0,5.0,5.0,4.0,
    5.3.3.-Robos con violencia en establecimientos,3.0,7.0,4.0,1.0,7.0,2.0,4.0,5.0,4.0,9.0,4.0,9.0,9.0,9.0,
Sevilla,
    5.2.-Robos con fuerza en las cosas,15097.0,13508.0,11077.0,12480.0,16284.0,15455.0,14931.0,14398.0,14335.0,15105.0,18104.0,18670.0,19025.0,19647.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,7659.0,6969.0,4971.0,6054.0,7743.0,7310.0,7118.0,6251.0,6303.0,6164.0,7797.0,7872.0,8501.0,8280.0,
    5.2.2.-Robos con fuerza en viviendas,3092.0,2779.0,2565.0,2966.0,3658.0,3458.0,3568.0,3306.0,3377.0,3718.0,4299.0,4391.0,3271.0,3963.0,
    5.2.3.-Robos con fuerza en establecimientos,1909.0,1587.0,1558.0,1681.0,2716.0,2486.0,2243.0,2533.0,2171.0,2226.0,2175.0,2167.0,2059.0,2606.0,
    5.3.-Robos con violencia o intimidación,2639.0,2455.0,1937.0,1802.0,2437.0,2413.0,2626.0,2423.0,2181.0,2460.0,2924.0,3163.0,3314.0,3923.0,
    5.3.1.-Robos con violencia en vía pública,1933.0,1763.0,1328.0,1208.0,1660.0,1693.0,1851.0,1770.0,1587.0,1815.0,2126.0,2333.0,2485.0,2998.0,
    5.3.2.-Robos con violencia en viviendas,167.0,145.0,139.0,127.0,169.0,154.0,155.0,149.0,125.0,118.0,141.0,140.0,110.0,155.0,
    5.3.3.-Robos con violencia en establecimientos,334.0,323.0,261.0,308.0,382.0,338.0,367.0,281.0,282.0,321.0,427.0,409.0,347.0,497.0,
Soria,
    5.2.-Robos con fuerza en las cosas,345.0,297.0,205.0,204.0,294.0,331.0,334.0,385.0,393.0,370.0,397.0,424.0,431.0,414.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,24.0,29.0,16.0,22.0,38.0,44.0,46.0,40.0,46.0,30.0,35.0,33.0,63.0,33.0,
    5.2.2.-Robos con fuerza en viviendas,132.0,97.0,71.0,55.0,93.0,86.0,117.0,133.0,128.0,103.0,120.0,90.0,46.0,64.0,
    5.2.3.-Robos con fuerza en establecimientos,55.0,37.0,34.0,44.0,54.0,73.0,71.0,77.0,85.0,80.0,77.0,74.0,85.0,130.0,
    5.3.-Robos con violencia o intimidación,21.0,7.0,21.0,12.0,12.0,10.0,16.0,25.0,26.0,24.0,30.0,34.0,23.0,34.0,
    5.3.1.-Robos con violencia en vía pública,12.0,5.0,14.0,8.0,11.0,7.0,7.0,15.0,18.0,16.0,21.0,20.0,14.0,17.0,
    5.3.2.-Robos con violencia en viviendas,6.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,3.0,4.0,2.0,4.0,0.0,6.0,
    5.3.3.-Robos con violencia en establecimientos,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,6.0,
Tarragona,
    5.2.-Robos con fuerza en las cosas,7745.0,7650.0,6633.0,6814.0,8917.0,9260.0,8552.0,8569.0,9075.0,11277.0,11846.0,11904.0,11760.0,12699.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2741.0,2801.0,2420.0,18.0,3004.0,3195.0,2759.0,2632.0,2311.0,2605.0,3380.0,3382.0,3882.0,4350.0,
    5.2.2.-Robos con fuerza en viviendas,2814.0,2960.0,2582.0,2917.0,3280.0,3544.0,3386.0,3548.0,3606.0,4438.0,4539.0,4520.0,4104.0,4435.0,
    5.2.3.-Robos con fuerza en establecimientos,911.0,723.0,605.0,664.0,1.0,2.0,2.0,6.0,4.0,1.0,0.0,2.0,3.0,8.0,
    5.3.-Robos con violencia o intimidación,1180.0,1101.0,887.0,794.0,1048.0,990.0,1033.0,1069.0,1083.0,1234.0,1465.0,1618.0,1404.0,1433.0,
    5.3.1.-Robos con violencia en vía pública,730.0,685.0,497.0,495.0,2.0,0.0,4.0,8.0,10.0,9.0,11.0,10.0,5.0,9.0,
    5.3.2.-Robos con violencia en viviendas,87.0,78.0,84.0,84.0,67.0,57.0,44.0,43.0,31.0,43.0,54.0,93.0,99.0,97.0,
    5.3.3.-Robos con violencia en establecimientos,207.0,173.0,145.0,99.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,6.0,3.0,
Teruel,
    5.2.-Robos con fuerza en las cosas,381.0,446.0,232.0,190.0,305.0,433.0,335.0,442.0,477.0,557.0,671.0,787.0,681.0,708.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,32.0,22.0,16.0,9.0,25.0,54.0,21.0,26.0,31.0,50.0,50.0,63.0,51.0,32.0,
    5.2.2.-Robos con fuerza en viviendas,171.0,201.0,76.0,61.0,88.0,182.0,115.0,162.0,177.0,194.0,220.0,265.0,175.0,166.0,
    5.2.3.-Robos con fuerza en establecimientos,56.0,56.0,37.0,24.0,60.0,59.0,58.0,69.0,81.0,74.0,86.0,130.0,100.0,146.0,
    5.3.-Robos con violencia o intimidación,13.0,18.0,16.0,9.0,19.0,16.0,15.0,17.0,23.0,37.0,40.0,25.0,28.0,24.0,
    5.3.1.-Robos con violencia en vía pública,6.0,11.0,10.0,3.0,12.0,6.0,6.0,10.0,13.0,23.0,16.0,12.0,11.0,17.0,
    5.3.2.-Robos con violencia en viviendas,2.0,4.0,3.0,1.0,0.0,0.0,3.0,0.0,5.0,5.0,4.0,2.0,3.0,2.0,
    5.3.3.-Robos con violencia en establecimientos,2.0,1.0,1.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,8.0,3.0,8.0,4.0,
Toledo,
    5.2.-Robos con fuerza en las cosas,4637.0,4192.0,3771.0,4392.0,5781.0,6614.0,6495.0,7163.0,7887.0,8482.0,9055.0,8448.0,8030.0,7131.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1192.0,914.0,893.0,1086.0,1211.0,1268.0,1126.0,1092.0,1168.0,1078.0,1094.0,1373.0,1206.0,487.0,
    5.2.2.-Robos con fuerza en viviendas,1580.0,1462.0,1436.0,1842.0,2509.0,3001.0,3023.0,3336.0,3471.0,3666.0,3872.0,3434.0,2977.0,2313.0,
    5.2.3.-Robos con fuerza en establecimientos,594.0,571.0,502.0,527.0,776.0,848.0,977.0,1054.0,1047.0,993.0,1085.0,1000.0,1127.0,1175.0,
    5.3.-Robos con violencia o intimidación,344.0,287.0,305.0,268.0,347.0,363.0,440.0,382.0,392.0,462.0,506.0,510.0,510.0,398.0,
    5.3.1.-Robos con violencia en vía pública,182.0,152.0,163.0,148.0,196.0,221.0,257.0,213.0,254.0,300.0,310.0,305.0,299.0,229.0,
    5.3.2.-Robos con violencia en viviendas,59.0,36.0,33.0,35.0,30.0,32.0,33.0,27.0,30.0,30.0,44.0,47.0,57.0,30.0,
    5.3.3.-Robos con violencia en establecimientos,55.0,50.0,60.0,45.0,66.0,58.0,79.0,69.0,46.0,71.0,65.0,73.0,68.0,90.0,
Valencia/València,
    5.2.-Robos con fuerza en las cosas,20550.0,18962.0,15582.0,13380.0,17312.0,16651.0,16996.0,18239.0,19148.0,22314.0,25879.0,29864.0,30693.0,32568.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,9511.0,7767.0,5914.0,4746.0,6041.0,4784.0,5482.0,5342.0,5489.0,6767.0,8093.0,9755.0,11873.0,9350.0,
    5.2.2.-Robos con fuerza en viviendas,6479.0,6925.0,6054.0,5077.0,6665.0,7462.0,7212.0,7891.0,8301.0,9229.0,10303.0,11960.0,8063.0,9451.0,
    5.2.3.-Robos con fuerza en establecimientos,1991.0,1766.0,1533.0,1818.0,2279.0,2107.0,2074.0,2409.0,2393.0,2645.0,2894.0,3102.0,3010.0,3897.0,
    5.3.-Robos con violencia o intimidación,3717.0,3672.0,3063.0,2355.0,2940.0,3025.0,3166.0,3373.0,3728.0,4348.0,5821.0,6901.0,6453.0,6345.0,
    5.3.1.-Robos con violencia en vía pública,2418.0,2481.0,1976.0,1431.0,1878.0,1764.0,2019.0,2130.0,2451.0,2919.0,3882.0,4771.0,3900.0,4505.0,
    5.3.2.-Robos con violencia en viviendas,208.0,218.0,221.0,187.0,214.0,245.0,228.0,236.0,286.0,353.0,440.0,519.0,397.0,388.0,
    5.3.3.-Robos con violencia en establecimientos,513.0,486.0,464.0,391.0,441.0,519.0,463.0,489.0,454.0,544.0,734.0,726.0,615.0,774.0,
Valladolid,
    5.2.-Robos con fuerza en las cosas,1525.0,1977.0,1806.0,1565.0,2126.0,2136.0,2140.0,2249.0,2302.0,2643.0,2873.0,3059.0,2528.0,2993.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,360.0,501.0,561.0,540.0,453.0,431.0,349.0,369.0,441.0,632.0,545.0,534.0,541.0,652.0,
    5.2.2.-Robos con fuerza en viviendas,488.0,625.0,557.0,399.0,594.0,686.0,631.0,655.0,627.0,795.0,789.0,875.0,424.0,565.0,
    5.2.3.-Robos con fuerza en establecimientos,235.0,320.0,298.0,277.0,483.0,431.0,475.0,482.0,464.0,446.0,599.0,582.0,491.0,506.0,
    5.3.-Robos con violencia o intimidación,182.0,143.0,136.0,94.0,144.0,131.0,115.0,107.0,136.0,156.0,196.0,280.0,271.0,301.0,
    5.3.1.-Robos con violencia en vía pública,86.0,68.0,61.0,55.0,88.0,71.0,70.0,55.0,82.0,95.0,122.0,155.0,173.0,180.0,
    5.3.2.-Robos con violencia en viviendas,18.0,19.0,19.0,7.0,10.0,13.0,8.0,9.0,24.0,18.0,27.0,37.0,26.0,23.0,
    5.3.3.-Robos con violencia en establecimientos,62.0,32.0,37.0,16.0,20.0,32.0,20.0,28.0,23.0,29.0,27.0,46.0,33.0,64.0,
Bizkaia,
    5.2.-Robos con fuerza en las cosas,5305.0,6576.0,6092.0,5145.0,7269.0,7253.0,7328.0,7507.0,7559.0,9121.0,10342.0,9391.0,9499.0,10849.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,12.0,15.0,18.0,15.0,17.0,10.0,14.0,11.0,14.0,21.0,18.0,28.0,23.0,29.0,
    5.2.2.-Robos con fuerza en viviendas,2073.0,2870.0,2747.0,2187.0,3276.0,2746.0,2224.0,2261.0,2421.0,3503.0,3448.0,2876.0,2902.0,2336.0,
    5.2.3.-Robos con fuerza en establecimientos,905.0,839.0,836.0,596.0,1311.0,1690.0,1605.0,1594.0,1412.0,1366.0,1276.0,1346.0,1276.0,1470.0,
    5.3.-Robos con violencia o intimidación,1504.0,1688.0,1009.0,722.0,1206.0,1262.0,1302.0,1475.0,1427.0,1583.0,2166.0,2948.0,1993.0,2045.0,
    5.3.1.-Robos con violencia en vía pública,1115.0,1272.0,714.0,511.0,802.0,858.0,902.0,1025.0,934.0,1081.0,1386.0,1974.0,1360.0,1449.0,
    5.3.2.-Robos con violencia en viviendas,91.0,70.0,52.0,63.0,67.0,116.0,100.0,116.0,167.0,148.0,258.0,431.0,219.0,157.0,
    5.3.3.-Robos con violencia en establecimientos,160.0,178.0,152.0,82.0,204.0,173.0,145.0,149.0,154.0,170.0,255.0,251.0,243.0,261.0,
Zamora,
    5.2.-Robos con fuerza en las cosas,554.0,574.0,456.0,434.0,574.0,625.0,722.0,678.0,657.0,710.0,792.0,881.0,753.0,752.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,73.0,88.0,103.0,63.0,110.0,88.0,83.0,78.0,101.0,92.0,144.0,115.0,74.0,93.0,
    5.2.2.-Robos con fuerza en viviendas,196.0,188.0,143.0,124.0,155.0,215.0,209.0,173.0,192.0,266.0,210.0,197.0,149.0,165.0,
    5.2.3.-Robos con fuerza en establecimientos,68.0,124.0,89.0,105.0,133.0,116.0,175.0,190.0,155.0,114.0,154.0,204.0,193.0,205.0,
    5.3.-Robos con violencia o intimidación,20.0,26.0,24.0,18.0,40.0,35.0,41.0,36.0,56.0,60.0,62.0,77.0,63.0,62.0,
    5.3.1.-Robos con violencia en vía pública,10.0,13.0,13.0,5.0,17.0,15.0,17.0,20.0,36.0,33.0,38.0,46.0,31.0,33.0,
    5.3.2.-Robos con violencia en viviendas,5.0,3.0,3.0,4.0,6.0,6.0,7.0,6.0,7.0,9.0,11.0,6.0,9.0,7.0,
    5.3.3.-Robos con violencia en establecimientos,3.0,5.0,5.0,3.0,11.0,11.0,7.0,7.0,7.0,13.0,7.0,11.0,18.0,18.0,
Zaragoza,
    5.2.-Robos con fuerza en las cosas,4144.0,3822.0,3454.0,2976.0,4403.0,4094.0,4061.0,4379.0,4317.0,4606.0,5450.0,6069.0,6895.0,7904.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,875.0,897.0,886.0,753.0,1562.0,1124.0,1172.0,1246.0,1200.0,1058.0,1223.0,1618.0,2290.0,1895.0,
    5.2.2.-Robos con fuerza en viviendas,1452.0,1051.0,1044.0,913.0,1278.0,1366.0,1409.0,1529.0,1469.0,1490.0,1714.0,1750.0,1303.0,1756.0,
    5.2.3.-Robos con fuerza en establecimientos,572.0,729.0,557.0,637.0,581.0,577.0,560.0,491.0,493.0,621.0,807.0,991.0,782.0,1271.0,
    5.3.-Robos con violencia o intimidación,979.0,1097.0,912.0,728.0,974.0,866.0,748.0,843.0,762.0,814.0,1116.0,1367.0,1477.0,1531.0,
    5.3.1.-Robos con violencia en vía pública,658.0,811.0,619.0,522.0,701.0,608.0,497.0,583.0,501.0,546.0,743.0,917.0,942.0,1052.0,
    5.3.2.-Robos con violencia en viviendas,60.0,45.0,41.0,34.0,36.0,46.0,50.0,64.0,53.0,74.0,72.0,116.0,107.0,96.0,
    5.3.3.-Robos con violencia en establecimientos,184.0,177.0,166.0,116.0,178.0,135.0,134.0,113.0,134.0,122.0,189.0,204.0,236.0,235.0,
Ceuta,
    5.2.-Robos con fuerza en las cosas,192.0,211.0,189.0,198.0,241.0,313.0,455.0,346.0,621.0,455.0,615.0,667.0,479.0,723.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,115.0,134.0,106.0,90.0,154.0,186.0,347.0,223.0,465.0,315.0,397.0,385.0,281.0,497.0,
    5.2.2.-Robos con fuerza en viviendas,33.0,31.0,31.0,37.0,42.0,60.0,57.0,67.0,88.0,77.0,80.0,115.0,79.0,93.0,
    5.2.3.-Robos con fuerza en establecimientos,19.0,13.0,25.0,30.0,16.0,25.0,26.0,32.0,21.0,30.0,83.0,87.0,62.0,49.0,
    5.3.-Robos con violencia o intimidación,84.0,107.0,195.0,128.0,147.0,150.0,131.0,197.0,174.0,189.0,223.0,165.0,168.0,189.0,
    5.3.1.-Robos con violencia en vía pública,62.0,75.0,148.0,97.0,112.0,115.0,110.0,156.0,141.0,156.0,169.0,141.0,125.0,141.0,
    5.3.2.-Robos con violencia en viviendas,7.0,5.0,4.0,6.0,6.0,7.0,2.0,8.0,8.0,13.0,13.0,5.0,16.0,8.0,
    5.3.3.-Robos con violencia en establecimientos,10.0,10.0,9.0,8.0,10.0,7.0,5.0,4.0,7.0,8.0,25.0,5.0,6.0,13.0,
Melilla,
    5.2.-Robos con fuerza en las cosas,248.0,307.0,251.0,364.0,766.0,787.0,587.0,620.0,686.0,566.0,668.0,592.0,774.0,774.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,104.0,191.0,138.0,246.0,618.0,589.0,375.0,368.0,417.0,342.0,424.0,328.0,474.0,427.0,
    5.2.2.-Robos con fuerza en viviendas,60.0,46.0,55.0,44.0,71.0,91.0,99.0,159.0,97.0,87.0,82.0,103.0,90.0,156.0,
    5.2.3.-Robos con fuerza en establecimientos,59.0,38.0,14.0,22.0,26.0,35.0,39.0,36.0,58.0,49.0,64.0,54.0,91.0,79.0,
    5.3.-Robos con violencia o intimidación,119.0,121.0,201.0,300.0,375.0,332.0,356.0,377.0,320.0,265.0,295.0,256.0,240.0,194.0,
    5.3.1.-Robos con violencia en vía pública,86.0,96.0,145.0,220.0,243.0,260.0,277.0,316.0,270.0,233.0,251.0,210.0,182.0,171.0,
    5.3.2.-Robos con violencia en viviendas,9.0,6.0,2.0,2.0,8.0,6.0,4.0,1.0,4.0,6.0,10.0,6.0,3.0,1.0,
    5.3.3.-Robos con violencia en establecimientos,12.0,9.0,14.0,16.0,13.0,8.0,16.0,3.0,4.0,4.0,12.0,16.0,15.0,8.0,
En el extranjero,
    5.2.-Robos con fuerza en las cosas,328.0,353.0,162.0,173.0,304.0,297.0,253.0,277.0,297.0,257.0,272.0,325.0,445.0,674.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,247.0,218.0,128.0,122.0,198.0,192.0,169.0,168.0,178.0,145.0,153.0,131.0,144.0,142.0,
    5.2.2.-Robos con fuerza en viviendas,13.0,17.0,9.0,15.0,17.0,26.0,20.0,26.0,22.0,22.0,15.0,22.0,16.0,19.0,
    5.2.3.-Robos con fuerza en establecimientos,6.0,11.0,1.0,4.0,7.0,14.0,11.0,12.0,13.0,8.0,10.0,13.0,14.0,51.0,
    5.3.-Robos con violencia o intimidación,195.0,164.0,74.0,75.0,263.0,264.0,246.0,236.0,224.0,202.0,234.0,205.0,162.0,177.0,
    5.3.1.-Robos con violencia en vía pública,140.0,111.0,54.0,58.0,195.0,191.0,182.0,159.0,151.0,145.0,163.0,144.0,101.0,138.0,
    5.3.2.-Robos con violencia en viviendas,6.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,0.0,5.0,
    5.3.3.-Robos con violencia en establecimientos,10.0,10.0,2.0,1.0,17.0,14.0,13.0,22.0,21.0,10.0,14.0,10.0,2.0,6.0,
Desconocida,
    5.2.-Robos con fuerza en las cosas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,218.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,
    5.2.2.-Robos con fuerza en viviendas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,
    5.2.3.-Robos con fuerza en establecimientos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,
    5.3.-Robos con violencia o intimidación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,
    5.3.1.-Robos con violencia en vía pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,
    5.3.2.-Robos con violencia en viviendas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
    5.3.3.-Robos con violencia en establecimientos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Notas:
(*) Se computan datos provenientes de la Policía Nacional, Guardia  Civil, policías autonómicas y policías locales que proporcionan datos  al Sistema Estadístico de Criminalidad. No se incluyen datos de los  Mossos d'Esquadra de robos con fuerza o con violencia/intimidación en  establecimientos, ni de robos con violencia/intimidación en vía  pública hasta 2019 a partir de 2020 se encuentran incluidos. No se  incluyen datos de los Mossos d'Esquadra ni Ertzaintza de estafas  informáticas hasta 2014 a partir de 2015 se encuentran incluidos.    
 (**) En agresiones sexuales con/sin penetración se computan  agresiones sexuales con/sin penetración y abusos sexuales con/sin  penetración.
Fuente: Ministerio del Interior
