
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
Total Nacional,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,22066.0,22665.0,23247.0,111.0,25085.0,19974.0,18272.0,18409.0,17715.0,18800.0,22700.0,25382.0,27467.0,32764.0,
    5.2.2.-Robos con fuerza en viviendas,12042.0,13395.0,10697.0,10979.0,16036.0,17807.0,15994.0,16283.0,17257.0,14651.0,14783.0,14191.0,13224.0,13524.0,
    5.2.3.-Robos con fuerza en establecimientos,5442.0,4722.0,3577.0,5010.0,9.0,4.0,5.0,10.0,12.0,9.0,7.0,5.0,13.0,14.0,
    5.3.-Robos con violencia o intimidación,22792.0,22457.0,18360.0,15249.0,23836.0,20151.0,18374.0,17882.0,19176.0,21682.0,25803.0,28497.0,25005.0,22250.0,
    5.3.1.-Robos con violencia en vía pública,17358.0,16509.0,13491.0,11124.0,78.0,68.0,54.0,51.0,66.0,46.0,52.0,63.0,44.0,53.0,
    5.3.2.-Robos con violencia en viviendas,808.0,913.0,782.0,689.0,277.0,287.0,289.0,262.0,277.0,561.0,1305.0,1466.0,1169.0,1147.0,
    5.3.3.-Robos con violencia en establecimientos,1787.0,2071.0,1664.0,1454.0,9.0,8.0,4.0,4.0,3.0,3.0,6.0,3.0,1.0,6.0,
Burgos,
    5.2.-Robos con fuerza en las cosas,1532.0,1332.0,1259.0,1098.0,1511.0,1518.0,1417.0,1340.0,1494.0,1870.0,1843.0,2111.0,2349.0,2532.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,319.0,245.0,212.0,219.0,277.0,260.0,348.0,290.0,296.0,405.0,425.0,471.0,579.0,577.0,
    5.2.2.-Robos con fuerza en viviendas,588.0,557.0,542.0,440.0,587.0,665.0,457.0,410.0,470.0,599.0,511.0,547.0,519.0,516.0,
    5.2.3.-Robos con fuerza en establecimientos,271.0,201.0,200.0,189.0,293.0,201.0,216.0,271.0,244.0,344.0,361.0,370.0,459.0,539.0,
    5.3.-Robos con violencia o intimidación,183.0,162.0,142.0,106.0,146.0,147.0,126.0,179.0,157.0,152.0,205.0,221.0,254.0,222.0,
    5.3.1.-Robos con violencia en vía pública,113.0,94.0,85.0,62.0,75.0,89.0,80.0,114.0,89.0,95.0,137.0,146.0,150.0,145.0,
    5.3.2.-Robos con violencia en viviendas,10.0,16.0,10.0,5.0,11.0,21.0,10.0,13.0,23.0,10.0,17.0,24.0,27.0,16.0,
    5.3.3.-Robos con violencia en establecimientos,36.0,34.0,30.0,24.0,41.0,24.0,22.0,23.0,23.0,30.0,31.0,24.0,49.0,42.0,
Cáceres,
    5.2.-Robos con fuerza en las cosas,1058.0,1060.0,849.0,778.0,882.0,1070.0,1092.0,1280.0,1319.0,1192.0,1497.0,1676.0,1556.0,1513.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,170.0,204.0,142.0,118.0,184.0,196.0,182.0,203.0,173.0,176.0,221.0,321.0,287.0,181.0,
    5.2.2.-Robos con fuerza en viviendas,299.0,334.0,247.0,239.0,218.0,281.0,310.0,373.0,386.0,366.0,418.0,437.0,305.0,368.0,
    5.2.3.-Robos con fuerza en establecimientos,196.0,168.0,143.0,162.0,181.0,257.0,240.0,278.0,271.0,227.0,313.0,317.0,353.0,355.0,
    5.3.-Robos con violencia o intimidación,81.0,91.0,92.0,56.0,68.0,73.0,53.0,82.0,70.0,65.0,93.0,88.0,82.0,98.0,
    5.3.1.-Robos con violencia en vía pública,40.0,56.0,59.0,25.0,41.0,40.0,28.0,41.0,48.0,40.0,53.0,54.0,37.0,59.0,
    5.3.2.-Robos con violencia en viviendas,18.0,14.0,8.0,10.0,8.0,9.0,4.0,6.0,9.0,6.0,12.0,10.0,7.0,5.0,
    5.3.3.-Robos con violencia en establecimientos,11.0,12.0,13.0,13.0,15.0,11.0,10.0,18.0,7.0,12.0,11.0,10.0,20.0,26.0,
Cádiz,
    5.2.-Robos con fuerza en las cosas,5867.0,5405.0,4327.0,4129.0,5225.0,6350.0,6393.0,6317.0,7077.0,7610.0,8389.0,9074.0,8805.0,9372.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2412.0,1955.0,1604.0,1587.0,2235.0,2515.0,2365.0,2416.0,2512.0,2385.0,2799.0,3302.0,3097.0,2761.0,
    5.2.2.-Robos con fuerza en viviendas,1601.0,1575.0,1306.0,1269.0,1466.0,1824.0,2086.0,2109.0,2339.0,2839.0,3077.0,3029.0,2464.0,2360.0,
    5.2.3.-Robos con fuerza en establecimientos,970.0,949.0,712.0,631.0,747.0,1049.0,1039.0,908.0,1120.0,1146.0,1177.0,1240.0,1206.0,1519.0,
    5.3.-Robos con violencia o intimidación,876.0,824.0,728.0,602.0,831.0,795.0,871.0,889.0,969.0,988.0,1140.0,1121.0,1199.0,1117.0,
    5.3.1.-Robos con violencia en vía pública,559.0,527.0,470.0,369.0,525.0,472.0,573.0,583.0,650.0,688.0,802.0,766.0,767.0,791.0,
    5.3.2.-Robos con violencia en viviendas,80.0,65.0,73.0,62.0,81.0,80.0,74.0,79.0,67.0,72.0,74.0,70.0,76.0,63.0,
    5.3.3.-Robos con violencia en establecimientos,153.0,155.0,129.0,124.0,136.0,151.0,132.0,134.0,136.0,131.0,162.0,152.0,139.0,170.0,
Castellón/Castelló,
    5.2.-Robos con fuerza en las cosas,4196.0,3736.0,3203.0,2535.0,3813.0,4615.0,4413.0,5773.0,6034.0,6622.0,7211.0,7482.0,7675.0,7716.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1088.0,892.0,727.0,642.0,805.0,963.0,1048.0,1860.0,1334.0,1424.0,1799.0,1942.0,2144.0,1055.0,
    5.2.2.-Robos con fuerza en viviendas,1741.0,1701.0,1517.0,1125.0,1718.0,2185.0,2107.0,2454.0,2933.0,3144.0,3112.0,3029.0,2660.0,2888.0,
    5.2.3.-Robos con fuerza en establecimientos,556.0,422.0,352.0,348.0,549.0,653.0,520.0,556.0,605.0,773.0,607.0,743.0,926.0,951.0,
    5.3.-Robos con violencia o intimidación,456.0,409.0,303.0,230.0,355.0,353.0,409.0,480.0,426.0,483.0,680.0,721.0,676.0,733.0,
    5.3.1.-Robos con violencia en vía pública,233.0,190.0,131.0,108.0,197.0,173.0,190.0,259.0,227.0,268.0,385.0,435.0,271.0,434.0,
    5.3.2.-Robos con violencia en viviendas,38.0,39.0,49.0,34.0,36.0,38.0,37.0,27.0,52.0,50.0,74.0,60.0,61.0,60.0,
    5.3.3.-Robos con violencia en establecimientos,101.0,75.0,56.0,41.0,44.0,54.0,84.0,76.0,54.0,61.0,98.0,105.0,117.0,153.0,
Ciudad Real,
